"","x"
"",237.5038
"density",-218.0395
"age",0.0041
"weight",0.1878
"height",0.008
"adipos",-0.2803
"free",-0.2597
"neck",0.0086
"chest",0.0775
"abdom",0.0119
"hip",0.0272
"thigh",0.0607
"knee",0.01
"ankle",-0.0066
"biceps",-0.024
"forearm",0.1451
"wrist",0.1368
