"","x"
"(Intercept)",235.7761
"density",-216.0709
"age",0.0042
"weight",0.192
"height",0.007
"adipos",-0.2855
"free",-0.2634
"neck",0.0078
"chest",0.0774
"abdom",0.0105
"hip",0.0254
"thigh",0.0614
"knee",0.0084
"ankle",-0.0069
"biceps",-0.0239
"forearm",0.1455
"wrist",0.1367
