"","X1","X2","muhat","Vhat"
"125",0.40228,0.1,0.115864,5e-06
"126",0.40228,0.2,0.123477,7e-06
"127",0.40228,0.3,0.131184,9e-06
"128",0.40228,0.4,0.139201,1.2e-05
"129",0.40228,0.5,0.147372,1.5e-05
"130",0.40228,0.6,0.155991,1.8e-05
"131",0.40228,0.7,0.164689,2.3e-05
"132",0.40228,0.8,0.173568,2.8e-05
"133",0.40228,0.9,0.183518,3.4e-05
"134",0.40228,1,0.192445,4.1e-05
"135",0.40228,1.1,0.201966,5e-05
"136",0.40228,1.2,0.213342,5.9e-05
"137",0.40228,1.3,0.222508,7.1e-05
"138",0.40228,1.4,0.233213,8.3e-05
"139",0.40228,1.5,0.245,9.7e-05
"140",0.40228,1.6,0.254003,0.000113
"141",0.40228,1.7,0.2672,0.00013
"142",0.40228,1.8,0.277381,0.000149
"143",0.40228,1.9,0.288417,0.00017
"144",0.40228,2,0.302142,0.000193
"145",0.40228,2.1,0.31136,0.000218
"146",0.40228,2.2,0.326181,0.000244
"147",0.40228,2.3,0.337349,0.000271
"148",0.40228,2.4,0.349927,0.000301
"149",0.40228,2.5,0.362782,0.000332
"150",0.40228,2.6,0.373538,0.000363
"151",0.40228,2.7,0.389351,0.000396
"152",0.40228,2.8,0.400921,0.000429
"153",0.40228,2.9,0.413671,0.000462
"154",0.40228,3,0.425165,0.000496
"155",0.40228,3.1,0.437387,0.000528
"156",0.40228,3.2,0.453363,0.00056
"157",0.40228,3.3,0.464531,0.000593
"158",0.40228,3.4,0.476256,0.000625
"159",0.40228,3.5,0.486888,0.000659
"160",0.40228,3.6,0.502913,0.000688
"161",0.40228,3.7,0.51535,0.000721
"162",0.40228,3.8,0.527094,0.000752
"163",0.40228,3.9,0.539801,0.000778
"164",0.40228,4,0.54606,0.000787
"165",0.62542,0,0.10747,4e-06
"166",0.62542,0.1,0.114511,6e-06
"167",0.62542,0.2,0.121853,7e-06
"168",0.62542,0.3,0.12947,1e-05
"169",0.62542,0.4,0.137249,1.3e-05
"170",0.62542,0.5,0.145423,1.6e-05
"171",0.62542,0.6,0.15376,2e-05
"172",0.62542,0.7,0.162158,2.5e-05
"173",0.62542,0.8,0.17073,3.1e-05
"174",0.62542,0.9,0.180366,3.8e-05
"175",0.62542,1,0.189295,4.5e-05
"176",0.62542,1.1,0.198315,5.4e-05
"177",0.62542,1.2,0.209064,6.4e-05
"178",0.62542,1.3,0.217927,7.6e-05
"179",0.62542,1.4,0.22818,8.9e-05
"180",0.62542,1.5,0.239349,0.000103
"181",0.62542,1.6,0.248694,0.00012
"182",0.62542,1.7,0.260589,0.000138
"183",0.62542,1.8,0.271209,0.000159
"184",0.62542,1.9,0.28199,0.000182
"185",0.62542,2,0.294519,0.000206
"186",0.62542,2.1,0.304384,0.000232
"187",0.62542,2.2,0.317626,0.000262
"188",0.62542,2.3,0.328882,0.000291
"189",0.62542,2.4,0.340528,0.000323
"190",0.62542,2.5,0.352942,0.000356
"191",0.62542,2.6,0.363618,0.00039
"192",0.62542,2.7,0.37824,0.000427
"193",0.62542,2.8,0.389616,0.000464
"194",0.62542,2.9,0.402756,0.000499
"195",0.62542,3,0.41346,0.000537
"196",0.62542,3.1,0.425349,0.000578
"197",0.62542,3.2,0.440195,0.000615
"198",0.62542,3.3,0.451517,0.000654
"199",0.62542,3.4,0.46379,0.000693
"200",0.62542,3.5,0.473934,0.000726
"201",0.62542,3.6,0.488536,0.000762
"202",0.62542,3.7,0.501461,0.000798
"203",0.62542,3.8,0.512125,0.000833
"204",0.62542,3.9,0.525542,0.000867
"205",0.62542,4,0.532412,0.000884
"206",0.91311,0,0.106289,5e-06
"207",0.91311,0.1,0.113135,7e-06
"208",0.91311,0.2,0.120332,9e-06
"209",0.91311,0.3,0.127703,1.2e-05
"210",0.91311,0.4,0.135303,1.5e-05
"211",0.91311,0.5,0.142992,1.9e-05
"212",0.91311,0.6,0.151082,2.3e-05
"213",0.91311,0.7,0.159224,2.9e-05
"214",0.91311,0.8,0.167619,3.6e-05
"215",0.91311,0.9,0.176778,4.4e-05
"216",0.91311,1,0.185243,5.2e-05
"217",0.91311,1.1,0.194207,6.3e-05
"218",0.91311,1.2,0.204538,7.5e-05
"219",0.91311,1.3,0.213251,8.9e-05
"220",0.91311,1.4,0.223085,0.000104
"221",0.91311,1.5,0.233648,0.000121
"222",0.91311,1.6,0.242894,0.000141
"223",0.91311,1.7,0.254386,0.000163
"224",0.91311,1.8,0.264087,0.000188
"225",0.91311,1.9,0.274813,0.000214
"226",0.91311,2,0.286611,0.000243
"227",0.91311,2.1,0.295884,0.000273
"228",0.91311,2.2,0.309281,0.000306
"229",0.91311,2.3,0.320103,0.000342
"230",0.91311,2.4,0.331094,0.000379
"231",0.91311,2.5,0.342608,0.000419
"232",0.91311,2.6,0.353933,0.00046
"233",0.91311,2.7,0.366888,0.000502
"234",0.91311,2.8,0.377842,0.000546
"235",0.91311,2.9,0.389508,0.000591
"236",0.91311,3,0.400757,0.000636
"237",0.91311,3.1,0.412892,0.000684
"238",0.91311,3.2,0.427039,0.000727
"239",0.91311,3.3,0.437326,0.000773
"240",0.91311,3.4,0.449029,0.000822
"241",0.91311,3.5,0.459908,0.000868
"242",0.91311,3.6,0.473398,0.000913
"243",0.91311,3.7,0.485695,0.000957
"244",0.91311,3.8,0.495669,0.000997
"245",0.91311,3.9,0.508307,0.001029
"246",0.91311,4,0.515796,0.001048
"247",1.3186,0,0.104851,7e-06
"248",1.3186,0.1,0.111564,9e-06
"249",1.3186,0.2,0.118494,1.2e-05
"250",1.3186,0.3,0.125615,1.6e-05
"251",1.3186,0.4,0.133016,2e-05
"252",1.3186,0.5,0.14049,2.6e-05
"253",1.3186,0.6,0.148302,3.2e-05
"254",1.3186,0.7,0.156369,4e-05
"255",1.3186,0.8,0.164343,4.8e-05
"256",1.3186,0.9,0.173091,5.9e-05
"257",1.3186,1,0.181587,7e-05
