"","x"
"density",-227.253
"age",0.004
"weight",0.1775
"height",0.0103
"adipos",-0.2305
"free",-0.2444
"neck",0
"chest",0.0685
"abdom",0.0105
"hip",0.0208
"thigh",0.0504
"knee",0.013
"ankle",-0.0059
"biceps",-0.0162
"forearm",0.1309
"wrist",0.124
